no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
244;BR033;Umbi Uwi, segar;69,7;120;2,8;0,5;82,3;2,6;0,9;9;42;1,3;412;412;0,3;0,6;-;-;-;0,02;0,5;0,2;4;86;Tunggal;Umbi;BKP;100
245;CP001;Kacang belimbing (kecipir), rebus;55,6;204;16,9;8,8;17,5;4,8;1,2;230;180;3,3;43;1.098,00;3,24;2,3;-;-;-;0,2;0,48;0,7;-;100;Olahan;Kacang;KZGPI-1990;100
246;CP002;Kacang bogor, goreng;3;479;12,7;23,2;58,9;1,2;2,2;135;184;2,9;-;-;-;-;-;-;-;0,25;0,45;4,1;-;35;Olahan;Kacang;KZGPI-1990;100
247;CP003;Kacang bogor, rebus;61,2;161;7,7;2,8;27,1;2;1,2;56;134;1,4;-;-;-;-;-;-;-;0,1;-;-;-;35;Olahan;Kacang;KZGPI-1990;100
248;CP004;Kacang gude, rebus;61,5;147;9;0,5;27,5;3,4;1,5;50;175;2;14;1.126,00;0,8;2,7;-;12;-;0,1;0,07;13,2;-;100;Olahan;Kacang;KZGPI-1990;100
249;CP005;Kacang hijau, rebus;71,3;109;8,7;0,5;18,3;1,5;1,2;95;149;1,5;447;657,8;1,4;2,8;-;18;120;0,12;0,04;0,4;3;100;Olahan;Kacang;KZGPI-1990;100
250;CP006;Kacang kedelai, goreng;9,6;521;32,2;37,7;22,9;7,6;3,7;296;800;6,5;3.492;11.890,00;26,3;60;-;-;20;0,4;1,9;19;-;100;Olahan;Kacang;KZGPI-1990;100
251;CP007;Kacang kedelai, rebus;56,8;189;20,2;8,2;12,7;1,6;2,1;91;270;3,9;181;615;1,3;3,7;-;4;15;0,2;0,04;0,5;-;100;Olahan;Kacang;KZGPI-1990;100
252;CP008;Kacang merah kering, rebus;59,6;158;10,3;0,9;28,2;2,6;1;160;149;3,7;6;311;0,27;1,5;-;-;-;0,2;0,09;0,8;-;100;Olahan;Kacang;KZGPI-l990;100
253;CP009;Kacang merah segar, rebus;63,1;144;10;1;24,7;3,5;1,2;144;150;2,8;6;311;0,27;1,5;-;-;-;0,1;0,08;0,7;-;100;Olahan;Kacang;KZGPI-l990;100
254;CP010;Kacang mete/biji jambu monyet, goreng;1;629;20,4;56,3;19,8;1,1;2,5;502;493;8;13;641,7;4,7;5,4;-;5;-;0,37;0,22;1,8;-;100;Olahan;Kacang;KZGPI-1990;100
255;CP011;Kacang tanah rebus dg kulit;40,2;360;13,5;31,2;12,8;-;2,3;42;177;1,4;32;483;1,6;2;-;-;-;0,44;0,13;9;5;43;Olahan;Kacang;DABM-1964;100
256;CP012;Kacang tanah, goreng;2,5;564;25,5;44,4;25,5;2,8;2,8;106;390;4,1;-;-;-;-;-;-;-;0,4;-;-;-;100;Olahan;Kacang;KZGPI-l990;100
257;CP013;Kacang tanah, rebus;62,1;220;10,6;18;8;1;1,3;89;273;1,9;36;536,2;1,78;2,2;-;-;-;0,1;-;-;-;100;Olahan;Kacang;KZGPI-l990;100
258;CP014;Kacang tolo / tunggak, rebus;64,4;138;10,7;1,1;22,6;0,9;1,2;165;172;4;13;6,7;0,8;6,1;-;-;-;0,01;0,17;3,2;-;100;Olahan;Kacang;KZGPI-l990;100
259;CP015;Ampas kacang hijau;70,6;96;3,7;0,6;19,1;2,7;0,6;133;150;1,3;-;-;-;-;-;-;-;0,05;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
260;CP016;Ampas tahu, mentah;84,1;67;5;2,1;8,1;4,1;0,6;460;88;1;8;184,5;0,17;0,5;-;-;-;0,06;0,02;0,1;-;100;Olahan;Kacang;KZGPI-1990;100
261;CP017;Ampas tahu kukus;82,5;75;4,1;2,1;10,7;5,1;0,6;203;60;1,3;-;-;-;-;-;-;-;0,07;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
262;CP018;Ampas tahu, kering;9;414;26,6;18,3;41,3;-;5,8;19;29;4;45;1.055,70;0,99;2,8;-;-;-;0,2;0,1;0,5;-;100;Olahan;Kacang;DABM-1964;100
263;CP019;Pepes oncom ampas tahu;80,9;76;5,2;1,8;10,6;2,2;1,5;215;66;12,5;-;-;-;-;-;-;268;0,11;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
264;CP020;Bungkil biji karet;12;333;29,3;3,3;50;-;29,4;102;660;12;-;-;-;-;-;-;-;0,1;-;-;-;100;Olahan;Kacang;DABM-1964;100
265;CP021;Bungkil kacang tanah;14;336;37,4;13;30,5;-;33,1;730;470;30,7;-;-;-;-;-;-;-;0,04;-;-;-;100;Olahan;Kacang;DABM-1964;100
266;CP022;Bungkil kelapa;16;368;23;15;40;-;38;137;433;41,5;-;-;-;-;-;-;-;-;0,46;8,9;-;100;Olahan;Kacang;DABM-1964;100
267;CP023;Dodol banjarmasin;17,3;368;2,6;8,6;70;0,5;1,5;51;180;3,3;48;96;0,4;2,6;-;-;-;0,04;0,07;2,3;-;100;Olahan;Kacang;KZGMI-2001;100
268;CP024;Emping (kerupuk melinjo);13;345;12;1,5;71,5;-;28;100;400;5;-;-;-;-;-;-;-;0,2;-;-;-;100;Olahan;Kacang;DABM-1964;100
269;CP025;Emping komak;14,2;355;17,8;4,6;60,7;-;2,7;87;304;4,3;24;1.233,00;1;2,3;-;-;-;-;-;0,6;-;100;Olahan;Kacang;KZGMI-2001;100
270;CP026;Enting-enting gepuk hello kity;2,4;538;13,6;30,3;52,6;0,2;1;81;248;1,6;-;-;-;-;-;-;202;1;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
271;CP027;Enting-enting gepuk kacang tanah;4,2;524;13,3;29,2;52;0,2;1,4;76;248;1,4;-;-;-;-;-;-;272;0,62;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
272;CP028;Enting-enting wijen;3,7;565;18,2;38,4;36,8;1,9;3;251;502;10,9;-;-;-;-;-;-;240;0,92;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
273;CP029;Geplak;29,6;350;1,4;14,4;53,6;1,8;1;151;43;2,1;-;-;-;-;-;-;120;0,12;0,02;0,8;-;100;Olahan;Kacang;KZGMI-2001;100
274;CP030;Geplak jahe;12,4;462;3,1;24,4;57,7;3,3;2,5;212;161;6,6;-;-;-;-;-;-;272;0,12;-;0,1;-;100;Olahan;Kacang;KZGMI-2001;100
275;CP031;Kacang atom;3,1;533;27,8;38,1;28,8;2,5;2,2;87;423;3;-;-;-;-;-;-;-;0,06;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
276;CP032;Kacang goyang;8,3;516;14,7;31,1;44,4;-;1,5;34;230;0,7;2;365;0,6;1,7;-;-;-;-;-;-;-;100;Olahan;Kacang;KZGMI-2001;100
277;CP033;Kacang negara;3,1;480;18,4;19,1;58,5;11,7;0,9;34;404;10,3;1.010;385;2,5;7,1;-;-;-;0,63;0,05;2,6;-;100;Olahan;Kacang;KZGMI-2001;100
278;CP034;Kacang sukro;4,7;484;8,8;26,1;57,7;1,8;2,7;49;194;2,5;-;-;-;-;-;-;-;0,06;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
279;CP035;Kacang tanah sari;2,1;561;25,5;43,8;26;2,2;2,6;50;324;3,1;-;-;-;-;-;-;-;0,08;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
280;CP036;Keju kacang tanah (peanut butter);3;590;27;49;20,9;1,6;0,1;60;360;2;355;492,4;0,57;2,7;-;-;-;0,3;0,2;16,2;-;100;Olahan;Kacang;DABM-1964;100
281;CP037;Kembang tahu;10,8;380;48,9;13,8;23,3;-;3,2;378;781;2,1;55;455,3;0,68;4,2;-;-;-;0,15;0,08;0,7;-;100;Olahan;Kacang;KZGPI-1990;100
282;CP038;Kembang tahu rebus;79,8;90;10,7;4;4,7;-;0,8;85;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
283;CP039;Keripik oncom;3;598;8,3;43,8;42,6;3,3;2,2;85;153;27;-;-;-;-;-;-;1.608;1,13;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
284;CP040;Keripik tempe;3,3;581;12,1;40,6;41,7;2,2;2,3;237;116;6,9;-;-;-;-;-;-;320;0,35;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
285;CP041;Keripik tempe abadi besar;4,5;556;15,8;37,1;39,8;3,5;2,8;112;215;5,4;-;-;-;-;-;-;-;0,63;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
286;CP042;Keripik tempe abadi murni;3,2;542;40,3;42,4;11,6;2,2;2,7;175;529;5,2;-;-;-;-;-;-;50;0,1;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
287;CP043;Keripik tempe abadi sedang;4,4;510;12,3;27,9;52,4;3,6;3,1;122;211;8,4;-;-;-;-;-;-;-;0,52;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
288;CP044;Keripik tempe abadi telur;4,5;529;20,8;31,7;40,2;3;2,9;124;222;5,4;-;-;-;-;-;-;-;0,86;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
289;CP045;Keripik tempe abadi prima;4,8;540;16,7;33,9;42;2,2;2,6;92;184;3,2;-;-;-;-;-;-;1.080;0,38;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
290;CP046;Kwaci;9,9;515;30,6;42,1;13,8;13,6;3,7;54;312;6,2;124;448,6;0,65;9,7;-;-;-;0,02;0,19;0,3;-;35;Olahan;Kacang;DABM-1964;100
291;CP047;Melinjo emping tebal goreng manis;5,6;439;10;16,4;65,7;-;2,3;66;225;-;-;-;-;-;-;-;-;0,1;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
292;CP048;Melinjo emping tebal, goreng asin;8;431;11,1;16,2;63;-;1,6;77;-;-;-;-;-;-;-;-;-;0,08;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
293;CP049;Melinjo emping tipis goreng;3,3;485;11,5;24,5;59,1;-;1,5;85;218;-;-;-;-;-;-;-;-;0,11;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
294;CP050;Moon tahu;79,9;128;8;10;1,3;0,2;0,8;205;92;2,5;393;-;-;-;131;-;5.300;0,46;-;-;-;100;Olahan;Kacang;KZGMS-1993;100
295;CP051;Oncom;57;187;13;6;22,6;-;1,4;96;115;27;-;-;-;-;-;-;-;0,09;-;1,6;-;100;Olahan;Kacang;DABM-1964;100
296;CP052;Oncom ampas kacang hijau;13,4;376;14,9;6;65,7;12,3;1,7;199;110;10,9;-;-;-;-;-;-;-;0,03;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
297;CP053;Oncom kacang hijau + singkong;16,5;351;11;5,3;65,9;9;1,3;164;113;7,8;-;-;-;-;-;-;-;0,01;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
298;CP054;Oncom kacang tanah pepes;65;132;12,7;3,8;13,7;3,1;4,8;133;355;34,4;-;-;-;-;-;-;10;0,08;0,2;0,7;-;100;Olahan;Kacang;KZGPI-1990;100
299;CP055;Rempeyek kacang tanah;3,9;513;17,5;32,5;44,3;1,7;1,8;65;202;2,6;-;-;-;-;-;-;-;0,1;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
300;CP056;Rempeyek kacang tolo;6,1;451;11,2;20,2;59,7;1,8;2,8;156;221;4,6;-;-;-;-;-;-;-;0,02;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
301;CP057;Rempeyek kacang uci;4;497;17;27,6;50,8;2,4;3,4;166;89;6,7;-;-;-;-;-;-;-;0,05;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
302;CP058;Sayur lebui;83,9;64;2,1;0,6;12,5;5,7;0,9;21;2;1;124;146;0,2;0,7;-;14;-;-;-;0,1;-;100;Olahan;Kacang;KZGMI-2001;100
303;CP059;Saridele, bubuk;3;344;30;20;43;6,2;4;450;500;4;56;2.572,30;2,99;4;-;-;2.000;0,7;0,16;2;10;100;Olahan;Kacang;DABM-1964;100
304;CP060;Susu kedelai;87;41;3,5;2,5;5;0,2;2;50;45;0,7;128;287,9;0,12;1;-;-;200;0,08;0,05;0,7;2;100;Olahan;Kacang;DABM-1964;100
305;CP061;Tahu, mentah;82,2;80;10,9;4,7;0,8;0,1;1,4;223;183;3,4;2;50,6;0,19;0,8;-;118;-;0,01;0,08;0,1;-;100;Olahan;Kacang;KZGPI-1990;100
306;CP062;Tahu goreng;77,3;115;9,7;8,5;2,5;0,1;2;229;200;4,1;7;68,2;0,09;1,3;-;-;-;0,01;0,24;-;-;100;Olahan;Kacang;KZGPI-1990;100
307;CP063;Tahu telur;41,8;328;12,6;19,9;24,6;0,4;1,1;492;238;4,9;755;-;-;-;73;-;1.860;0,42;-;-;-;100;Olahan;Kacang;KZGMS-1993;100
308;CP064;Takwa;72,2;148;13,8;8,5;4;-;1,6;140;214;8,5;3;79;0,3;1,3;-;-;920;0,2;0,1;0,8;-;100;Olahan;Kacang;KZGPI-1990;100
309;CP065;Tauco;54;184;11,4;5,5;22,2;1,9;6,9;72;463;6;1.766;233;0,39;1;-;-;664;0,32;0,2;0,8;-;100;Olahan;Kacang;KZGPI-1990;100
310;CP066;Tauco cap beruang, cake;11,4;347;7,4;5,2;67,6;3,2;8,4;63;106;6,2;-;-;-;-;-;-;936;0,35;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
311;CP067;Tauco cap DAS, cake;10,2;358;7,5;4,3;70,4;3,1;7,6;94;94;4,5;-;-;-;-;-;-;504;0,29;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
312;CP068;Tauco cap meong;59,7;159;7,4;4,9;21,3;1,6;6,7;183;84;10,1;1.547;204,1;0,34;0,9;-;-;472;0,46;0,18;0,7;-;100;Olahan;Kacang;KZGPI-1990;100
313;CP069;Tauji cap singa;30,4;277;9,1;4,7;49,6;1,2;6,2;68;106;3;-;-;-;-;-;-;936;0,15;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
314;CP070;Tempe bongkrek;72,5;119;4,4;3,5;18,3;-;146,3;27;100;2,6;-;-;-;-;-;-;-;0,08;-;-;-;100;Olahan;Kacang;DABM-1964;100
315;CP071;Tempe gembus P3G;81,9;73;5,7;1,3;10,3;4,2;0,8;204;80;1,5;-;-;-;-;-;-;22;0,09;0,1;0,9;-;100;Olahan;Kacang;KZGPI-1990;100
316;CP072;Tempe gembus yogya;80,7;76;6,8;0,7;10,6;5,3;1,1;76;142;16,5;-;-;-;-;-;-;-;0,79;0,01;0,1;-;100;Olahan;Kacang;KZGPI-1990;100
317;CP073;Tempe kacang babi;64;139;12,5;0,8;21,9;1,8;1,2;68;182;2,6;-;-;-;-;-;-;20;0,1;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
318;CP074;Tempe kecipir (kacang belimbing);58,2;212;17,5;10;12,9;2,9;1,4;186;160;2,2;-;-;-;-;-;-;-;0,2;-;-;-;100;Olahan;Kacang;KZGPI-1990;100
319;CP075;Tempe kedelai + jagung;70,6;143;12;5,5;11,4;1,9;0,6;155;156;6,8;-;-;-;-;-;-;1.320;0,33;0,15;1,2;-;100;Olahan;Kacang;KZGPI-1990;100
320;CP076;Tempe kedelai murni, goreng;36,8;350;24,5;26,6;10,4;4,2;1,8;202;296;4,9;22;626,7;0,8;2,5;-;-;78;0,24;0,6;3,3;-;100;Olahan;Kacang;KZGPI-1990;100
321;CP077;Tempe kedelai murni, mentah;55,3;201;20,8;8,8;13,5;1,4;1,6;155;326;4;9;234;0,57;1,7;-;-;-;0,19;0,59;4,9;-;100;Olahan;Kacang;KZGPI-1990;100
322;CP078;Tempe koro benguk;64;141;10,2;1,3;23,2;-;1,3;42;15;2,6;-;-;-;-;-;-;-;0,09;-;-;-;100;Olahan;Kacang;DABM-1964;100
323;CP079;Tempe lamtoro;66,8;128;10,7;0,5;21,3;7,1;0,7;203;108;0,6;-;-;-;-;-;-;121;0,17;-;-;2;100;Olahan;Kacang;KZGPI-1990;100
324;CP080;Tempe lamtoro var. gung dengan kulit;65,1;146;11,7;2,3;19,6;7,6;1,3;128;41;6,8;-;-;-;-;-;-;1.370;0,19;-;1,4;-;100;Olahan;Kacang;KZGPI-1990;100
325;CP081;Tempe lamtoro var. gung tanpa kulit;67,1;131;18;0,8;13;1,3;1,1;95;154;12,4;-;-;-;-;-;-;5.900;0,2;0,02;2,6;-;100;Olahan;Kacang;KZGPI-1990;100
326;CP082;Tempe pasar;68,3;150;14;7,7;9,1;1,4;0,9;517;202;1,5;7;165,9;0,4;1,2;-;-;-;0,17;0,44;3,6;-;100;Olahan;Kacang;KZGPI-1990;100
327;CP083;Tempe pasar goreng;42,9;336;20;28;7,8;3,4;1,3;156;350;3;20;566,2;0,8;2,2;-;-;10;0,1;0,5;3;-;100;Olahan;Kacang;KZGPI-1990;100
328;CP084;Tepung hunkwe (pati kacang ijo);10;364;4,5;1;83,5;16,1;1;50;100;1;15;1.232,90;0,93;2,7;-;-;-;-;0,23;2,2;-;100;Olahan;Kacang;DABM-1964;100
329;CP085;Tepung Jalejo;10;388;19;7,5;61,2;5,8;2,3;101;663;2;3;712;0,6;1,9;-;1.000;0,1;0,02;0,7;1,6;9;100;Olahan;Kacang;BKP;100
330;CP086;Tepung kacang kedelai;9;347;35,9;20,6;29,9;5,8;4;195;544;8,4;52;2.522,60;4.303,45;2,6;-;-;140;0,77;0,32;2,1;-;100;Olahan;Kacang;DABM-1964;100
331;CR001;Kacang arab, kering;11,6;330;23,8;1,4;60,2;17,4;3;57;388;4,7;24;874,3;0,85;3,4;-;40;140;0,77;0,21;1,5;2;100;Tunggal;Kacang;DABM-1964;100
332;CR002;Kacang babi, kering;11,6;341;30,4;3,2;51,3;4,5;3,5;178;521;6,8;13;1.768,00;0,82;3,1;-;-;87;0,23;0,33;2,8;-;80;Tunggal;Kacang;KZGPI-1990;100
333;CR003;Kacang belimbing (kecipir), kering;10,4;400;34,4;16,9;34,1;10,7;4,2;468;182;6,8;37;955;2,82;2;-;-;-;0,3;0,44;3;-;100;Tunggal;Kacang;KZGPI-1990;100
334;CR004;Kacang beracun, segar;72,1;118;4,4;1,5;21,6;-;0,4;50;50;1,7;10;40;0,3;1;-;-;-;0,43;-;-;-;-;Tunggal;Kacang;KZGMI-2001;100
335;CR005;Kacang bogor, kering;10;370;16;6;65;26,3;3;85;264;4,2;44;868,8;1,48;2,7;-;-;-;0,18;0,26;-;-;100;Tunggal;Kacang;DABM-1964;100
336;CR006;Kacang bogor, segar;60,8;165;7,7;3,1;27,4;2,5;1;96;126;5,3;6;537;0,41;1,2;-;29;-;0,32;0,35;2,7;-;100;Tunggal;Kacang;KZGPI-1990;100
337;CR007;Kacang endel, biji, kering;14;331;25;1;58;23,6;2;80;400;5;12;1.322,40;0,68;2,7;-;-;-;0,3;0,75;2,3;-;95;Tunggal;Kacang;DABM-1964;100
338;CR008;Kacang ercis, segar;67,6;129;12,4;0,7;18,3;28,6;1;40;130;2,3;4;310;0,3;2,1;-;212;-;0,29;0,05;2,7;-;45;Tunggal;Kacang;KZGMI-2001;100
339;CR009;Kacang galing, segar;12;336;23,1;1,7;59,5;-;3,8;80;400;5;-;-;-;-;-;-;-;0,6;-;-;-;95;Tunggal;Kacang;DABM-1964;100
340;CR010;Kacang gude, biji, kering;16,1;316;20,7;1;58;4,6;4,2;146;445;4,7;16;1.306,20;0,99;2,7;-;19;-;0,3;0,19;2,4;-;100;Tunggal;Kacang;KZGPI-1990;100
341;CR011;Kacang gude, biji, segar;70,3;114;7;0,6;20,8;4,4;2,3;3;122;1,5;4;480,5;0,12;0,9;-;-;70;0,37;0,07;0,8;43;100;Tunggal;Kacang;DABM-1964;100
342;CR012;Kacang hijau var. bakti, kering;7,4;350;17,1;1,8;70,7;5,7;3,1;94;315;4,9;46;893,9;1,52;3,1;-;171;235;0,4;0,27;2,6;11;100;Tunggal;Kacang;KZGPI-1990;100
343;CR013;Kacang hijau var. siwalik, kering;8,8;339;20,8;2,1;64,6;7,4;3,7;122;136;4,9;45;880,4;1,5;3,1;-;168;321;0,45;0,27;2,6;-;100;Tunggal;Kacang;KZGPI-1990;100
344;CR014;Kacang hijau, kering;15,5;323;22,9;1,5;56,8;7,5;3,3;223;319;7,5;42;815,7;1,9;2,9;-;156;223;0,46;0,15;1,5;10;100;Tunggal;Kacang;KZGPI-1990;100
345;CR015;Kacang hitam, kering;12,5;346;16,6;1,7;66,1;22,8;3,1;70;300;4,7;3;-;0,9;3,5;-;28;-;0,16;0,1;2,1;-;100;Tunggal;Kacang;KZGMI-2001;100
346;CR016;Kacang kapri, segar;74,3;98;6,7;0,4;17,7;6,2;0,9;22;122;1,9;6;296,6;0,21;1,5;-;-;680;0,34;0,16;2,5;26;45;Tunggal;Kacang;DABM-1964;100
347;CR017;Kacang kedelai, kering;12,7;381;40,4;16,7;24,9;3,2;5,5;222;682;10;210;713,4;1,58;3,9;-;237;31;0,52;0,12;1,2;-;100;Tunggal;Kacang;KZGPI-1990;100
348;CR018;Kacang kedelai, segar;20;286;30,2;15,6;30,1;-;4,1;196;506;6,9;28;870,9;1,24;3,6;-;-;95;0,93;0,26;1,8;-;100;Tunggal;Kacang;DABM-1964;100
349;CR019;Kacang kincai, kering;4,2;444;19,9;16;55;-;4,9;26;-;-;-;-;-;-;-;-;-;0,1;0,1;1,9;-;-;Tunggal;Kacang;KZGMI-2001;100
350;CR020;Kacang komak, segar;20,9;327;16,4;4,3;55,8;0,5;2,6;74;282;4;22;1.137,00;0,9;2,1;-;-;-;0,99;0,12;0,1;-;45;Tunggal;Kacang;KZGMI-2001;100
351;CR021;Kacang kuning, kering;11,7;355;17;2,5;66;15,1;2,8;140;220;5,8;1;-;0,7;3,2;-;58;-;0,47;0,08;1,9;-;-;Tunggal;Kacang;KZGMI-2001;100
352;CR022;Kacang lebui /iris, kering;11,8;346;16,5;1,5;66,6;37,3;3,6;144;368;3,4;17;1.225,00;1,5;3,3;-;64;-;0,62;0,2;-;-;100;Tunggal;Kacang;KZGMI-2001;100
353;CR023;Kacang mentega, kering;13,7;344;16,7;2,1;64,6;13;2,9;110;300;6,7;1;10;0,7;2,5;-;0,1;-;0,21;0,07;1,2;-;-;Tunggal;Kacang;KZGMI-2001;100
354;CR024;Kacang merah/banda, kering;13;350;13,9;3;66,9;26,3;3,2;84;242;6,8;19;1.127,00;-;42;-;137;-;0,15;0,76;0,3;-;100;Tunggal;Kacang;KZGMI-2001;100
355;CR025;Kacang merah tua, kering;12,3;280;16,7;1,6;63,2;4,6;6,2;209;335;6,4;-;1.348,50;0,69;2,8;-;-;-;0,1;0,08;2;6;100;Tunggal;Kacang;KZGPI-l990;100
356;CR026;Kacang merah, kering;17,7;314;22,1;1,1;56,2;4;2,9;502;429;10,3;11;1.265,50;0,65;2,6;-;-;-;0,4;0,72;2,2;-;100;Tunggal;Kacang;KZGPI-l990;100
357;CR027;Kacang merah, segar;57,2;171;11;2,2;28;2,1;1,7;293;134;3,7;7;360,7;0,34;1,4;-;-;10;0,15;0,15;1,1;-;100;Tunggal;Kacang;KZGPI-l990;100
358;CR028;Kacang mete/biji jambu monyet, segar;4,6;616;16,3;48,4;28,7;0,9;2;26;521;3,8;26;692;4,7;4,1;-;5;-;0,64;0,03;-;-;69;Tunggal;Kacang;KZGMI-2001;100
359;CR029;Kacang panjang, biji, kering;12,2;357;17,3;1,5;68,6;10,6;0,4;163;437;6,9;16;1.109,40;0,35;2,8;-;2.182;-;0,57;0,98;7,1;2;100;Tunggal;Kacang;DABM-1964;100
360;CR030;Kacang tanah sangan;1,2;560;29,5;43;24,1;2,9;2,2;107;366;4,1;34;509,8;1,69;2,1;-;-;-;0,31;0,3;15,5;-;100;Tunggal;Kacang;KZGPI-l990;100
361;CR031;Kacang tanah sangan tanpa selaput;2,6;559;26,9;44,2;23,6;2,6;2,7;74;393;1,9;33;202,3;520,4;1,7;-;-;-;0,3;29,47;8;-;100;Tunggal;Kacang;DABM-1964;100
362;CR032;Kacang tanah, kering;9,6;525;27,9;42,7;17,4;2,4;2,4;316;456;5,7;31;466,5;1,55;1,9;-;-;30;0,44;0,27;1,4;-;100;Tunggal;Kacang;KZGPI-l990;100
363;CR033;Kacang tolo / tunggak, kering;13,5;331;24,4;1,9;56,6;1,6;3,6;481;399;13,9;15;7,8;1,03;5,9;-;65;-;0,06;0,2;4,3;-;100;Tunggal;Kacang;KZGPI-l990;100
364;CR034;Kacang tunis, kering;10,5;351;12,2;1,2;72,9;29,5;3,2;120;220;6,9;1;-;1,4;2,9;-;-;-;0,57;0,13;2,5;-;100;Tunggal;Kacang;KZGMI-2001;100
365;CR035;Kacang uci, kering;9,9;358;23,4;2,4;60,6;7,4;3,7;269;264;0,5;13;1.457,70;0,35;-;-;20;-;0,1;0,2;2,5;2;100;Tunggal;Kacang;KZGPI-l990;100
366;CR036;Kacang urei, kering;12,8;354;12,8;1,8;69,3;26,1;3,3;220;220;5,1;1;-;0,7;3,1;-;-;-;0,55;0,05;3,5;-;-;Tunggal;Kacang;KZGMI-2001;100
367;CR037;Kenari banda, kering;13;616;13,9;56,2;13,7;-;3,2;-;380;1,4;11;460;1,1;3,2;-;90;-;0,83;0,08;0,5;-;100;Tunggal;Kacang;KZGMI-2001;100
368;CR038;Kenari, kering;3;657;15;66;13;-;3;92;691;7,7;3;505,8;0,97;3;-;-;-;0,42;0,09;0,5;-;100;Tunggal;Kacang;DABM-1964;100
369;CR039;Komak polong, segar;74,3;99;3,3;0,1;21,2;10,3;1,1;50;99;13,1;15;567;0,2;0,6;-;5;-;0,13;0,03;0,2;-;100;Tunggal;Kacang;KZGMI-2001;100
370;CR040;Koro andong, kering;10,8;356;20,5;4,1;61,6;7;3;150;272;6,2;18;301,8;0,73;2,8;-;-;-;0,29;0,02;1,4;1;100;Tunggal;Kacang;KZGPI-1990;100
371;CR041;Koro benguk, biji, kering;15;332;24;3;55;5,6;3;30;200;2;42;389,2;1,25;8,7;-;-;70;0,3;0,12;1,7;-;95;Tunggal;Kacang;DABM-1964;100
372;CR042;Koro kerupuk, biji, segar;67,2;125;8,3;0,7;22,1;2,2;1,7;17;12;2,7;16;150,3;0,48;3,4;-;-;80;0,11;0,04;1,1;31;68;Tunggal;Kacang;DABM-1964;100
373;CR043;Koro loke, biji, segar;88,6;33;2,7;0,2;7,9;3,5;0,6;60;40;2;2;38,6;0,09;0,4;-;-;40;0,1;-;0,2;-;95;Tunggal;Kacang;DABM-1964;100
374;CR044;Koro roay, kering;13;344;12,5;2,1;69,4;7,5;3;70;103;4,4;18;294,3;0,72;2,7;-;-;28;0,11;0,21;1,4;1;100;Tunggal;Kacang;KZGPI-1990;100
375;CR045;Koro wedus, biji, kering;11,8;338;22,2;1,5;61;5,8;3,5;88;395;3,5;43;403,8;1,3;9,1;-;-;-;0,62;0,12;1,8;-;100;Tunggal;Kacang;DABM-1964;100
376;CR046;Lamtoro biji, muda, segar;77,4;85;5,7;0,3;15,4;10,8;1,2;180;53;2,7;35;485,7;0,02;1,4;-;-;423;0,08;1,15;1;15;100;Tunggal;Kacang;DABM-1964;100
