no.;Kode Baru;Nama Bahan Makanan;Komposisi Zat Gizi Makanan per 100 gram BDD (Bagian yang Dapat Dimakan) - Sumber: TKPI 2019;;;;;;;;;;;;;;;;;;;;;;Mentah /Olahan;Kelompok Makanan;Sumber TKPI 2019;Porsi (g)
;;;Air;Energi;Protein;Lemak;Karbohidrat;Serat;Abu;Kalsium (Ca);Fosfor (P);Besi (Fe);Natrium (Na);Kalium (Ka);Tembaga (Cu);Seng (Zn);Retinol (vit. A);β-karoten;Karoten total;Thiamin (vit. B1);Riboflavin (vit. B2);Niasin;Vitamin C;BDD;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;(g);(Kal);(g);(g);(g);(g);(g);(mg);(mg);(mg);(mg);(mg);(mg);(mg);(mcg);(mcg);(mcg);(mg);(mg);(mg);(mg);(%);;;;
39;AP039;Brem;37,4;249;3,4;0,4;58;-;0,9;198;86;2;-;-;-;-;-;-;240;0,34;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
40;AP040;Bubur tinotuan (Manado);80,9;156;2,3;0,2;15,6;8,2;1;41;20;0,4;486;164;0,3;0,4;-;1.437;-;0,1;0,04;-;15;100;Olahan;Serealia;KZGMI-2001;100
41;AP041;Cake tape;32,2;323;4,9;11,5;50,1;1,4;1,4;131;83;2,6;-;-;-;-;26;-;1.872;0,38;0,16;0,3;-;100;Olahan;Serealia;KZGMI-2001;100
42;AP042;Cangkuning;57,5;204;2,8;7,5;31,4;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
43;AP043;Dodol bali;26,5;298;3,7;2,1;65,9;0,4;1,8;70;76;2,5;-;-;-;-;-;-;496;0,28;-;2,5;-;100;Olahan;Serealia;KZGPI-1990;100
44;AP044;Dodol galamai;16,5;348;0,4;3,8;76,1;0,5;1,2;41;144;2,6;38;76;0,3;2,1;-;-;-;0,03;0,06;1,8;-;100;Olahan;Serealia;KZGMI-2001;100
45;AP045;Dodol kedondong;26,4;331;1,9;7,6;63,8;1;0,4;90;55;2,3;-;-;-;-;-;-;408;0,11;-;0,8;5;100;Olahan;Serealia;KZGPI-1990;100
46;AP046;Dodol manado;26,1;373;4,3;16,5;51,9;0,4;1,2;41;142;2,4;35;72;0,3;2,1;-;-;-;0,04;0,06;2,1;-;100;Olahan;Serealia;KZGMI-2001;100
47;AP047;Emping beras;13,6;403;10,6;2,2;85,3;0,2;1,9;11;240;0,3;1;113;0,3;2,4;-;-;-;-;0,16;-;-;100;Olahan;Serealia;KZGMI-2001;100
48;AP048;Gemblong;36,2;274;1,7;5,4;55,5;2,2;1,2;69;55;3,3;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
49;AP049;Gendar goreng;30,4;407;6,4;28,2;32;0,1;3;216;62;1,6;-;-;-;-;-;-;184;0,16;-;0,6;-;100;Olahan;Serealia;KZGPI-1990;100
50;AP050;Intip goreng;6,5;474;7,6;21,6;62,3;1,2;2;36;64;2,5;-;38;0,05;0,5;-;-;200;0,25;0,03;0,8;-;100;Olahan;Serealia;KZGPI-1990;100
51;AP051;Jagung gerontol;61,7;156;2,7;1,3;33,3;1;0,8;51;105;1,2;-;-;-;-;-;-;162;0,08;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
52;AP052;Jagung titi;9,2;374;9,4;2,2;79,1;0,8;0,1;14;142;2,9;-;-;9;-;-;-;11.507;0,2;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
53;AP053;Japilus;3,8;500;1,2;25,1;67,3;0,4;2,7;186;29;4,9;-;-;-;-;-;-;-;0,17;0,03;0,4;-;100;Olahan;Serealia;KZGPI-1990;100
54;AP054;Kakicak;43,9;296;3,4;15,1;36,7;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
55;AP055;Kambose;61,5;164;3;2,4;32,6;4,3;0,7;16;36;0,7;-;32;0,1;1,6;-;256;-;0,1;0,1;0,4;-;100;Olahan;Serealia;KZGMI-2001;100
56;AP056;Kapusa;63,5;158;4,4;3,2;27,8;5,3;1;79;115;1,2;104;149;0,5;1,1;-;1.374;-;0,06;0,05;0,1;-;100;Olahan;Serealia;KZGMI-2001;100
57;AP057;Keddo bodong;33,9;290;4,6;5,7;55,2;-;0,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
58;AP058;Kelepon, kue;49,6;215;3,7;3,7;41,8;1;1,2;232;45;3,3;-;-;-;-;-;-;872;0,09;0,07;0,2;-;100;Olahan;Serealia;KZGMI-2001;100
59;AP059;Kereput;3,5;580;4,8;39,6;51,1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
60;AP060;Ketoprak;69,1;153;7,9;7,7;13;2,9;2,6;153;134;3,4;-;-;-;-;3;-;435;0,05;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
61;AP061;Ketupat kandangan;78,5;109;2,2;5,2;13,4;-;0,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
62;AP062;Koya;13,2;366;4,2;4,3;77,5;0,8;0,8;153;222;7;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
63;AP063;Koya mirasa;7,2;370;8;1;82,2;0,4;1,6;83;110;17;-;-;-;-;3;-;144;0,19;0,45;2,6;-;100;Olahan;Serealia;KZGMI-2001;100
64;AP064;Koyabu;44,2;241;3,4;4,3;47,2;-;0,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
65;AP065;Kue ali;12,8;440;3,8;18,5;64,5;0,3;0,4;27;47;2,5;-;-;-;-;-;-;-;0,13;0,09;-;-;100;Olahan;Serealia;KZGMI-2001;100
66;AP066;Kue bangen;5,6;442;3,3;14,7;74,2;-;2,2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
67;AP067;Kue gelang;7,1;448;5,8;16,1;70;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;100;Olahan;Serealia;KZGMI-2001;100
68;AP068;Kue jahe;3,7;425;1,6;8,8;84,6;1,2;1,3;155;61;4;-;-;-;-;-;-;-;0,2;-;-;-;100;Olahan;Serealia;KZGPI-1990;100
